timestamp,rssi,snr,sduid,muid,data,hops,latitude,longitude,altitude,gps_time
2024-11-23 18:59:23,-59.000000,9.750000,DATAK002,7RCL,C:46 FreeMemory:194216 Charging:1 Full:0 Volts:-3.00 Temp:-3.00 Lat:35.32849 Lng:-120.7521 Alt:63.20,1,35.32845,-120.7520,64.70,18:59:23
2024-11-23 18:59:33,-59.000000,9.750000,DATAK002,LF3T,C:47 FreeMemory:194308 Charging:1 Full:0 Volts:-3.00 Temp:-3.00 Lat:35.32848 Lng:-120.7521 Alt:63.60,1,35.32845,-120.7520,66.20,18:59:33
2024-11-23 18:59:43,-66.000000,10.500000,DATAK002,DMVU,C:48 FreeMemory:194100 Charging:1 Full:0 Volts:-3.00 Temp:-3.00 Lat:35.32848 Lng:-120.7521 Alt:64.40,1,35.32845,-120.7520,67.10,18:59:43
2024-11-23 18:59:53,-49.000000,9.750000,DATAK002,TYC0,C:49 FreeMemory:193840 Charging:1 Full:0 Volts:-3.00 Temp:-3.00 Lat:35.32848 Lng:-120.7521 Alt:63.70,1,35.32845,-120.7520,67.20,18:59:53
2024-11-23 19:11:36,-32.000000,9.250000,BEACON01,N6AW,Lt:35.32842 Lg:-120.7520 At:65.70 Tm:19:11:31,1,35.32846,-120.7520,68.10,19:11:36
2024-11-23 19:12:06,-31.000000,9.750000,BEACON01,K9PE,Lt:35.32842 Lg:-120.7520 At:64.40 Tm:19:12:1,1,35.32846,-120.7520,67.10,19:12:6
2024-11-23 19:12:36,-32.000000,9.250000,BEACON01,4W98,Lt:35.32842 Lg:-120.7520 At:65.30 Tm:19:12:31,1,35.32847,-120.7520,65.60,19:12:36
2024-11-23 19:13:06,-32.000000,10.000000,BEACON01,2KPX,Lt:35.32842 Lg:-120.7520 At:67.00 Tm:19:13:1,1,35.32848,-120.7520,69.10,19:13:6
2024-11-23 19:13:36,-32.000000,9.500000,BEACON01,YWOF,Lt:35.32841 Lg:-120.7520 At:68.80 Tm:19:13:31,1,35.32847,-120.7520,69.90,19:13:36
2024-11-23 19:14:06,-31.000000,10.250000,BEACON01,VWPU,Lt:35.32841 Lg:-120.7520 At:67.70 Tm:19:14:1,1,35.32847,-120.7520,67.40,19:14:6
2024-11-23 19:14:36,-33.000000,9.500000,BEACON01,53CO,Lt:35.32841 Lg:-120.7520 At:67.80 Tm:19:14:31,1,35.32846,-120.7520,65.30,19:14:36
2024-11-23 19:15:36,-31.000000,9.000000,BEACON01,PV7X,Lt:35.32841 Lg:-120.7520 At:66.40 Tm:19:15:31,1,35.32846,-120.7520,65.10,19:15:36
2024-11-23 19:16:06,-32.000000,9.750000,BEACON01,3GFG,Lt:35.32842 Lg:-120.7520 At:66.70 Tm:19:16:1,1,35.32845,-120.7520,64.40,19:16:6
2024-11-23 19:16:36,-33.000000,9.250000,BEACON01,8G2N,Lt:35.32842 Lg:-120.7520 At:66.30 Tm:19:16:31,1,35.32847,-120.7520,63.20,19:16:36
2024-11-23 19:17:06,-32.000000,9.500000,BEACON01,5UVC,Lt:35.32842 Lg:-120.7520 At:65.10 Tm:19:17:1,1,35.32848,-120.7520,62.90,19:17:6
2024-11-23 19:17:26,-103.000000,8.000000,BEACON02,3JPK,Lt:35.29131 Lg:-120.7519 At:36.40 Tm:19:17:15 RI:-97 SR:-5.750000 Lt:35.32270 Lg:-120.7583 At:443.11 TM:19:17:20,2,35.32847,-120.7520,64.50,19:17:25
2024-11-23 19:17:36,-33.000000,9.250000,BEACON01,HGJT,Lt:35.32842 Lg:-120.7520 At:64.70 Tm:19:17:31,1,35.32847,-120.7520,65.50,19:17:36
2024-11-23 19:18:06,-32.000000,10.250000,BEACON01,PCJU,Lt:35.32842 Lg:-120.7520 At:64.80 Tm:19:18:1,1,35.32847,-120.7520,65.70,19:18:6
2024-11-23 19:18:26,-103.000000,9.000000,BEACON02,JS4M,Lt:35.29132 Lg:-120.7518 At:33.00 Tm:19:18:15 RI:-98 SR:-6.250000 Lt:35.32247 Lg:-120.7597 At:431.01 TM:19:18:20,2,35.32847,-120.7520,65.60,19:18:25
